Data,Hora,Valor_LDR,Valor_Umidade
2024-09-21,18:27:18,5,226
2024-09-21,18:27:28,3,228
2024-09-21,18:27:48,3,233
2024-09-21,18:27:58,3,236
2024-09-21,18:28:08,4,238
2024-09-21,18:28:18,5,241
2024-09-21,18:28:28,5,244
2024-09-21,18:28:38,4,246
2024-09-21,18:28:48,3,248
2024-09-21,18:28:58,4,250
2024-09-21,18:29:08,4,252
2024-09-21,18:29:18,4,254
2024-09-21,18:29:28,4,256
2024-09-21,18:29:38,4,257
2024-09-21,18:29:48,4,259
2024-09-21,18:29:58,4,261
2024-09-21,18:30:08,3,263
2024-09-21,18:30:18,4,264
2024-09-21,18:30:28,4,267
2024-09-21,18:30:38,4,268
2024-09-21,18:30:48,4,268
2024-09-21,18:30:58,4,270
2024-09-21,18:31:08,3,271
2024-09-21,18:31:18,3,272
2024-09-21,18:31:28,4,274
2024-09-21,18:31:38,4,274
2024-09-21,18:31:48,3,275
2024-09-21,18:31:58,4,276
2024-09-21,18:32:08,4,278
2024-09-21,18:32:18,4,280
2024-09-21,18:32:28,3,281
2024-09-21,18:32:38,4,281
2024-09-21,18:32:48,3,282
2024-09-21,18:32:58,4,282
2024-09-21,18:33:08,3,283
2024-09-21,18:33:18,4,284
2024-09-21,18:33:28,4,285
2024-09-21,18:33:38,4,286
2024-09-21,18:33:48,4,287
2024-09-21,18:33:58,4,288
2024-09-21,18:34:08,4,289
2024-09-21,18:34:18,3,290
2024-09-21,18:34:28,4,291
2024-09-21,18:34:38,3,291
2024-09-21,18:34:48,3,291
2024-09-21,18:34:58,3,292
2024-09-21,18:35:08,4,293
2024-09-21,18:35:18,3,293
2024-09-21,18:35:28,3,293
2024-09-21,18:35:38,3,295
2024-09-21,18:35:48,3,296
2024-09-21,18:35:58,4,296
2024-09-21,18:36:08,4,297
2024-09-21,18:36:18,4,297
2024-09-21,18:36:28,4,298
2024-09-21,18:36:38,4,299
2024-09-21,18:36:48,4,299
2024-09-21,18:36:58,4,300
2024-09-21,18:37:08,4,300
2024-09-21,18:37:18,3,301
2024-09-21,18:37:28,3,302
2024-09-21,18:37:38,4,303
2024-09-21,18:37:48,3,303
2024-09-21,18:37:58,4,303
2024-09-21,18:38:08,4,304
2024-09-21,18:38:18,4,304
2024-09-21,18:38:28,4,305
2024-09-21,18:38:38,4,305
2024-09-21,18:38:48,3,307
2024-09-21,18:38:58,3,308
2024-09-21,18:39:08,4,309
2024-09-21,18:39:18,3,309
2024-09-21,18:39:28,4,309
2024-09-21,18:39:38,4,310
2024-09-21,18:39:48,4,310
2024-09-21,18:39:58,4,310
2024-09-21,18:40:08,4,310
2024-09-21,18:40:18,4,311
2024-09-21,18:40:28,4,311
2024-09-21,18:40:38,4,310
2024-09-21,18:40:48,4,310
2024-09-21,18:40:58,4,310
2024-09-21,18:41:08,4,311
2024-09-21,18:41:18,4,311
2024-09-21,18:41:28,4,312
2024-09-21,18:41:38,4,312
2024-09-21,18:41:48,4,313
2024-09-21,18:41:58,4,313
2024-09-21,18:42:08,4,313
2024-09-21,18:42:18,4,313
2024-09-21,18:42:28,4,313
2024-09-21,18:42:38,4,314
2024-09-21,18:42:48,4,314
2024-09-21,18:42:59,4,314
2024-09-21,18:43:09,4,314
2024-09-21,18:43:19,4,314
2024-09-21,18:43:29,4,314
2024-09-21,18:43:39,4,314
2024-09-21,18:43:49,4,315
2024-09-21,18:43:59,4,315
2024-09-21,18:44:09,4,316
2024-09-21,18:44:19,4,316
2024-09-21,18:44:29,4,316
2024-09-21,18:44:39,4,317
2024-09-21,18:44:49,4,316
2024-09-21,18:44:59,4,317
2024-09-21,18:45:09,4,317
2024-09-21,18:45:19,4,317
2024-09-21,18:45:29,4,317
2024-09-21,18:45:39,4,317
2024-09-21,18:45:49,4,317
2024-09-21,18:45:59,4,318
2024-09-21,18:46:09,4,318
2024-09-21,18:46:19,4,318
2024-09-21,18:46:29,3,318
2024-09-21,18:46:39,4,318
2024-09-21,18:46:49,4,319
2024-09-21,18:46:59,4,320
2024-09-21,18:47:09,4,320
2024-09-21,18:47:19,4,320
2024-09-21,18:47:29,4,320
2024-09-21,18:47:39,4,320
2024-09-21,18:47:49,4,320
2024-09-21,18:47:59,4,321
2024-09-21,18:48:09,4,321
2024-09-21,18:48:19,4,322
2024-09-21,18:48:29,4,321
2024-09-21,18:48:39,4,322
2024-09-21,18:48:49,4,322
2024-09-21,18:48:59,4,322
2024-09-21,18:49:09,4,322
2024-09-21,18:49:19,3,322
2024-09-21,18:49:29,4,322
2024-09-21,18:49:39,3,322
2024-09-21,18:49:49,4,322
2024-09-21,18:49:59,4,323
2024-09-21,18:50:09,4,323
2024-09-21,18:50:19,3,323
2024-09-21,18:50:29,4,324
2024-09-21,18:50:39,4,324
2024-09-21,18:50:49,4,324
2024-09-21,18:50:59,4,324
2024-09-21,18:51:09,4,324
2024-09-21,18:51:19,4,324
2024-09-21,18:51:29,4,325
2024-09-21,18:51:39,4,325
2024-09-21,18:51:49,4,325
2024-09-21,18:51:59,4,326
2024-09-21,18:52:09,4,326
